timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/08/31 05:48:17.274, 7 %, 1 %, 5282 MiB, 32768 MiB, 45.21 W, 38
2026/08/31 05:48:22.277, 3 %, 0 %, 6256 MiB, 32768 MiB, 199.91 W, 65
2026/08/31 05:48:22.281, 7 %, 1 %, 5282 MiB, 32768 MiB, 42.83 W, 38
2026/08/31 05:48:27.286, 100 %, 67 %, 6256 MiB, 32768 MiB, 234.95 W, 67
2026/08/31 05:48:27.289, 17 %, 13 %, 5282 MiB, 32768 MiB, 197.66 W, 39
2026/08/31 05:48:32.294, 100 %, 67 %, 6256 MiB, 32768 MiB, 218.08 W, 68
2026/08/31 05:48:32.297, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.74 W, 38
2026/08/31 05:48:37.304, 100 %, 67 %, 6256 MiB, 32768 MiB, 186.21 W, 67
2026/08/31 05:48:37.306, 5 %, 0 %, 5282 MiB, 32768 MiB, 42.50 W, 38
2026/08/31 05:48:42.310, 100 %, 67 %, 6256 MiB, 32768 MiB, 211.28 W, 67
2026/08/31 05:48:42.313, 6 %, 1 %, 5282 MiB, 32768 MiB, 42.93 W, 38
2026/08/31 05:48:47.318, 99 %, 70 %, 6256 MiB, 32768 MiB, 179.22 W, 66
2026/08/31 05:48:47.323, 7 %, 1 %, 5282 MiB, 32768 MiB, 42.57 W, 38
2026/08/31 05:48:52.326, 100 %, 70 %, 6256 MiB, 32768 MiB, 204.96 W, 66
2026/08/31 05:48:52.329, 58 %, 57 %, 5282 MiB, 32768 MiB, 52.07 W, 39
2026/08/31 05:48:57.334, 100 %, 67 %, 6256 MiB, 32768 MiB, 178.07 W, 66
2026/08/31 05:48:57.337, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.38 W, 37
2026/08/31 05:49:02.340, 100 %, 67 %, 6256 MiB, 32768 MiB, 212.50 W, 66
2026/08/31 05:49:02.343, 3 %, 0 %, 5282 MiB, 32768 MiB, 42.34 W, 37
2026/08/31 05:49:07.346, 99 %, 68 %, 6256 MiB, 32768 MiB, 181.21 W, 65
2026/08/31 05:49:07.350, 7 %, 1 %, 5282 MiB, 32768 MiB, 42.47 W, 37
2026/08/31 05:49:12.353, 0 %, 0 %, 6250 MiB, 32768 MiB, 46.68 W, 57
2026/08/31 05:49:12.359, 7 %, 1 %, 5282 MiB, 32768 MiB, 45.75 W, 37
